record_id,site,observation_date,collection_window,source_sheet,seconds_elapsed,speed_mps,walking_direction,distance_m,in_group,using_phone,texting,calling,holding_phone,gender_recorded,overtaken,overtakes,phone_follower,phone_follower_2,phone_follower_3,text_follower,group_follower
city_road_170,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,19.99999999999673,1.200000000000196,away,24,N,N,N,N,N,F,,,,N,,,
city_road_171,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,N,N,N,N,N,F,,,,N,,,
city_road_172,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,9.99999999999357,1.8000000000011576,towards,18,N,N,N,N,N,M,,,Y,Y,N,,
city_road_173,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.999999999998018,1.3333333333334803,away,24,N,N,N,N,N,M,,,,N,,,
city_road_174,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.000000000005386,1.285714285713791,towards,18,N,N,N,N,N,F,,,Y,N,N,,
city_road_175,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.000000000001528,0.8999999999999313,towards,18,Y,N,N,N,Y,F,,,Y,Y,Y,,
city_road_176,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,0.947368421052643,towards,18,Y,N,N,N,N,M,,,Y,N,N,,
city_road_177,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,22.000000000005038,1.090909090908841,away,24,N,N,N,N,N,F,,,,N,,,
city_road_178,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000002345,1.1999999999998123,towards,18,N,N,N,N,Y,M,,,Y,Y,Y,,
city_road_179,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.411764705882265,away,24,N,N,N,N,N,F,,,,N,,,
city_road_180,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,16.999999999996263,1.4117647058826632,away,24,N,N,N,N,N,F,,,,N,,,
